initial_condition,horizon,model,test_rows,RMSE_state,MAE_state,R2_mean,RMSE_x,MAE_x,R2_x,RMSE_y,MAE_y,R2_y,RMSE_z,MAE_z,R2_z
"(1.01, 1.0, 1.0)",10,Persistence,9990,4.988507256858925,4.136336492151177,0.8764703249290505,1.9267606220153752,1.5026476884893123,0.9398300971425617,2.939505712538262,2.035892048773929,0.8877845536621483,3.540071231365268,2.7028901650086468,0.8017963239824413
"(1.01, 1.0, 1.0)",10,Linear Regression,9990,4.234019720195695,3.5510858626934323,0.9109431338457089,0.49636452665064457,0.3865869880831873,0.9960067614084307,2.4116365272495557,1.879333693000146,0.9244685659193771,3.444496263334396,2.6799807906827535,0.8123540742093194
"(1.01, 1.0, 1.0)",10,Random Forest,9990,0.7263232869647619,0.3410388823923095,0.9974415567045961,0.34092462793724027,0.13534190775027796,0.9981161750827112,0.5023027091914136,0.207782119493228,0.9967233121914812,0.39875795113341156,0.17697359971962917,0.9974851828395962
"(1.01, 1.0, 1.0)",10,MLP,9990,0.46691904718134974,0.32492897753698213,0.9989845837379158,0.15503084207099233,0.11182340776439623,0.9996104528794253,0.38126447540995695,0.22087103470774622,0.9981121968470769,0.22049089418356688,0.1379526023019529,0.999231101487245
"(1.1, 1.0, 1.0)",10,Persistence,9990,5.204024078739688,4.355259202237244,0.8707258418231268,2.012578426133527,1.5896161761181271,0.9355451121066238,3.0615927673030923,2.1304497096741,0.8821665734046702,3.6956791551705,2.8500555938071046,0.7944658399580865
"(1.1, 1.0, 1.0)",10,Linear Regression,9990,4.403588688729344,3.726031799106195,0.9077965295490067,0.51365667739666,0.40247394800179326,0.9958014811452593,2.4959111467878667,1.955924412335934,0.9216873532987782,3.591403305758199,2.8232493395149674,0.8059007542029824
"(1.1, 1.0, 1.0)",10,Random Forest,9990,0.430144706683886,0.28746011162389457,0.9991242461167014,0.20513212757143545,0.10898095093539359,0.999330396676875,0.2794455313794506,0.17070360330883497,0.9990183243943261,0.25466737898333025,0.1507263340300029,0.999024017278903
"(1.1, 1.0, 1.0)",10,MLP,9990,0.4433875481642182,0.3233681925922256,0.9991114738776551,0.16222650359800217,0.1195459479277448,0.9995812123675603,0.35691882645366624,0.2164058244305967,0.998398552988386,0.20708459797962284,0.1365092622037779,0.9993546562770191
"(-5.0, 5.0, 20.0)",10,Persistence,9990,5.452037404991476,4.706128942586443,0.8671504165051481,2.1082863370289986,1.715223062294988,0.9295464081982294,3.201933342859858,2.2914049669610765,0.8743866246453955,3.8765272415404657,3.085963280493282,0.7975182166718193
"(-5.0, 5.0, 20.0)",10,Linear Regression,9990,4.623487844424013,4.0465681250920955,0.9065253511801855,0.535985393138995,0.43285026279198646,0.9954464526295875,2.6046219147990564,2.103371854233899,0.9168809266146849,3.7822353426018775,3.082149027684204,0.8072486742962841
"(-5.0, 5.0, 20.0)",10,Random Forest,9990,0.8741618043778644,0.4912420046648256,0.9965786843242709,0.4171169262166219,0.19658262142106614,0.9972422202569922,0.604054293349775,0.2981253858492187,0.9955294262542356,0.47464801777998056,0.2514408519915915,0.996964406461585
"(-5.0, 5.0, 20.0)",10,MLP,9990,0.4507114398136498,0.35277580382046947,0.9991187253042906,0.17182068929498662,0.12498218221423137,0.999532054942883,0.36575699695880654,0.24009082428128728,0.9983609334083606,0.1996002802722594,0.14682851328522023,0.9994631875616279
"(10.0, 10.0, 10.0)",10,Persistence,9990,5.553782963012421,4.811839894685422,0.86154013592301,2.1397671883844227,1.744171164311759,0.9249334388380074,3.265308045777332,2.3476587243338902,0.8662787851039466,3.950147458759264,3.1580718064862427,0.7934081838270759
"(10.0, 10.0, 10.0)",10,Linear Regression,9990,4.721913986629248,4.147999941676593,0.9029398562101919,0.5495432420742928,0.44728092250302154,0.9950487230780152,2.6694601761083057,2.1728412279251086,0.9106285324716596,3.8559637304294254,3.152710105602303,0.8031423130809006
"(10.0, 10.0, 10.0)",10,Random Forest,9990,0.6771478600929396,0.38877884347641795,0.9979257731498814,0.3079158020331301,0.15098481777295172,0.9984455475988208,0.4593643937612514,0.23649428885277124,0.9973535319512717,0.39077031237173,0.20062204444078688,0.9979782398995517
"(10.0, 10.0, 10.0)",10,MLP,9990,0.4567730251628822,0.36900689681778664,0.9990803630988161,0.17174414919724376,0.12615102441593992,0.9995164099289133,0.3718331820352499,0.25309279087479075,0.9982660032340981,0.20220194971984462,0.15666214509936616,0.9994586761334369
